Zealand Sjællands Erhvervsakademi i Næstved;01-02-2021;Høje Taastrup;23;Gennemført uddannelse;1;Bygningskonstruktør;Teknisk;2020 V
Zealand Sjællands Erhvervsakademi i Roskilde;01-09-2023;Ballerup;20;Fastholdt;1;Datamatiker;IT & Ledelse;2023 S
Zealand Sjællands Erhvervsakademi i Næstved;02-09-2024;København;20;Frafald;0;Bygningskonstruktør;Teknisk;2024 S
Zealand Sjællands Erhvervsakademi i Næstved;02-09-2024;Frederiksberg;19;Fastholdt;1;Finansbachelor;Merkantil;2024 S
Zealand Sjællands Erhvervsakademi i Næstved;02-09-2024;Guldborgsund;19;Fastholdt;1;Finansbachelor;Merkantil;2024 S
Zealand Sjællands Erhvervsakademi i Næstved (e-læring);01-02-2024;Køge;33;Frafald;0;Bygningskonstruktør;Teknisk;2023 V
Zealand Sjællands Erhvervsakademi i Roskilde (e-læring);03-02-2025;Tårnby;30;Frafald;0;Markedsføringsøkonom;Merkantil;2024 V
Zealand Sjællands Erhvervsakademi i Roskilde;01-09-2023;Herlev;21;Fastholdt;1;Økonomi og IT;Merkantil;2023 S
Zealand Sjællands Erhvervsakademi i Roskilde;01-09-2023;København;19;Fastholdt;1;Økonomi og IT;Merkantil;2023 S
Zealand Sjællands Erhvervsakademi i Roskilde;02-09-2024;Lejre;23;Fastholdt;1;Datamatiker;IT & Ledelse;2024 S
Zealand Sjællands Erhvervsakademi i Roskilde;01-09-2023;Holbæk;24;Fastholdt;1;Datamatiker;IT & Ledelse;2023 S
Zealand Sjællands Erhvervsakademi i Roskilde;01-09-2023;København;21;Fastholdt;1;Datamatiker;IT & Ledelse;2023 S
Zealand Sjællands Erhvervsakademi i Roskilde;03-02-2025;København;19;Ikke startet;0;Datamatiker;IT & Ledelse;2024 V
Zealand Sjællands Erhvervsakademi i Næstved (e-læring);03-02-2025;Høje Taastrup;20;Ikke startet;0;Bygningskonstruktør;Teknisk;2024 V
Zealand Sjællands Erhvervsakademi i Næstved;01-02-2021;Ringsted;27;Gennemført uddannelse;1;Bygningskonstruktør;Teknisk;2020 V
Zealand Sjællands Erhvervsakademi i Roskilde (e-læring);03-02-2025;Aarhus;21;Fastholdt;1;Markedsføringsøkonom;Merkantil;2024 V
Zealand Sjællands Erhvervsakademi i Køge;02-09-2024;Egedal;23;Fastholdt;1;IT-teknolog;IT & Ledelse;2024 S
Zealand Sjællands Erhvervsakademi i Næstved;02-09-2024;Ishøj;17;Fastholdt;1;Finansbachelor;Merkantil;2024 S
Zealand Sjællands Erhvervsakademi i Køge;02-09-2024;Høje Taastrup;20;Fastholdt;1;IT-teknolog;IT & Ledelse;2024 S
Zealand Sjællands Erhvervsakademi i Roskilde;01-02-2024;København;22;Frafald;0;Laborant;Teknisk;2023 V
Zealand Sjællands Erhvervsakademi i Næstved (e-læring);01-02-2024;Greve;19;Fastholdt;1;Bygningskonstruktør;Teknisk;2023 V
Zealand Sjællands Erhvervsakademi i Køge;01-09-2023;Vordingborg;23;Frafald;0;Logistikøkonom;Merkantil;2023 S
Zealand Sjællands Erhvervsakademi i Køge;03-02-2025;Glostrup;21;Fastholdt;1;Autoteknolog;Teknisk;2024 V
Zealand Sjællands Erhvervsakademi i Næstved (e-læring);01-02-2024;Gladsaxe;29;Frafald;0;Bygningskonstruktør;Teknisk;2023 V
Zealand Sjællands Erhvervsakademi i Holbæk;01-09-2022;Roskilde;20;Gennemført uddannelse;1;Finansøkonom;Merkantil;2022 S
Zealand Sjællands Erhvervsakademi i Næstved;01-02-2024;Kalundborg;24;Gennemført uddannelse;1;It-sikkerhed;IT & Ledelse;2023 V
Zealand Sjællands Erhvervsakademi i Roskilde (e-læring);02-09-2024;Rødovre;25;Ikke startet;0;Markedsføringsøkonom;Merkantil;2024 S
Zealand Sjællands Erhvervsakademi i Næstved;02-09-2024;Roskilde;18;Fastholdt;1;Bygningskonstruktør;Teknisk;2024 S
Zealand Sjællands Erhvervsakademi i Roskilde;01-09-2022;København;23;Fastholdt;1;Økonomi og IT;Merkantil;2022 S
Zealand Sjællands Erhvervsakademi i Roskilde (e-læring);01-09-2023;Kalundborg;25;Fastholdt;1;Markedsføringsøkonom;Merkantil;2023 S
Zealand Sjællands Erhvervsakademi i Roskilde (e-læring);02-09-2024;Brøndby;21;Ikke startet;0;Markedsføringsøkonom;Merkantil;2024 S
Zealand Sjællands Erhvervsakademi i Roskilde;01-09-2023;Rødovre;22;Frafald;0;Økonomi og IT;Merkantil;2023 S
Zealand Sjællands Erhvervsakademi i Køge;02-09-2024;København;23;Fastholdt;1;Finansøkonom;Merkantil;2024 S
Zealand Sjællands Erhvervsakademi i Roskilde;01-02-2024;Ballerup;21;Fastholdt;1;Datamatiker;IT & Ledelse;2023 V
Zealand Sjællands Erhvervsakademi i Roskilde (e-læring);02-09-2024;København;35;Fastholdt;1;Markedsføringsøkonom;Merkantil;2024 S
Zealand Sjællands Erhvervsakademi i Næstved;03-02-2025;København;20;Frafald;0;Bygningskonstruktør;Teknisk;2024 V
